,ballotpedia_state_candidate_links
116,https://ballotpedia.org/James_Gaghan
117,https://ballotpedia.org/Benjamin_Griffiths
118,https://ballotpedia.org/Kenneth_Harper
119,https://ballotpedia.org/Pat_McCrory
120,https://ballotpedia.org/Lichia_Sibhatu
121,https://ballotpedia.org/Mark_Walker_(North_Carolina)
122,https://ballotpedia.org/Jon_Warren
123,https://ballotpedia.org/Matthew_Hoh
124,https://ballotpedia.org/Shannon_Bray
125,https://ballotpedia.org/Hayden_Boyette
126,https://ballotpedia.org/Michelle_Lewis
127,https://ballotpedia.org/Kimrey_Rhinehardt
128,https://ballotpedia.org/Brenda_Rodriguez
129,https://ballotpedia.org/Marc_White
130,https://ballotpedia.org/Michael_Steele
131,https://ballotpedia.org/Dominic_LaCavera
132,https://ballotpedia.org/Shawn_Mousourakis
133,https://ballotpedia.org/Eric_Meiring
134,https://ballotpedia.org/Samuel_Ronan
135,https://ballotpedia.org/Chad_Taylor_(Ohio)
136,https://ballotpedia.org/Jason_Bollinger
137,https://ballotpedia.org/Jo_Glenn
138,https://ballotpedia.org/Madison_Horn
139,https://ballotpedia.org/Dan_Pulju
140,https://ballotpedia.org/Thomas_Verde
141,https://ballotpedia.org/Erik_Gerhardt
142,https://ballotpedia.org/Quincy_Magee
143,https://ballotpedia.org/Larry_Adams_Jr.
144,https://ballotpedia.org/Brian_Bengs
145,https://ballotpedia.org/Evan_McMullin
146,https://ballotpedia.org/Mark_Coester
147,https://ballotpedia.org/Kerry_Raheb
148,https://ballotpedia.org/Patty_Murray
149,https://ballotpedia.org/Justin_Greywolf
150,https://ballotpedia.org/Bob_Hagglund
151,https://ballotpedia.org/Larry_Hussey
152,https://ballotpedia.org/David_Ishii
153,https://ballotpedia.org/Robert_Kirby_(Washington)
154,https://ballotpedia.org/Mfumu_Metamorphosis_Mpiana
155,https://ballotpedia.org/Ravin_Pierre
156,https://ballotpedia.org/Nicolaus_Sleister
157,https://ballotpedia.org/Tiffany_Smiley
158,https://ballotpedia.org/Ron_Johnson_(Wisconsin)
159,https://ballotpedia.org/Mandela_Barnes
160,https://ballotpedia.org/Gillian_Battino
161,https://ballotpedia.org/Sarah_Godlewski
162,https://ballotpedia.org/Alex_Lasry
163,https://ballotpedia.org/Kou_Lee
164,https://ballotpedia.org/Chantia_Lewis
165,https://ballotpedia.org/Adam_Murphy
166,https://ballotpedia.org/Tom_Nelson
167,https://ballotpedia.org/Steven_Olikara
